date,close,return,naive_pred,lstm_pred,direction_true,direction_lstm,signal,strategy_return,bh_return,cum_strategy,cum_bh
,V,,,,,,,,,,
2015-03-23,62.21768569946289,-0.0048954163547429985,0.008980974296277866,0.003522449770167002,-1.0,1.0,1.0,0.0002974863324589627,-0.0048954163547429985,0.9651782611399025,1.0142925132556158
2015-03-24,62.2361946105957,0.0002974863324589627,-0.0048954163547429985,-0.00046754429543107714,1.0,-1.0,0.0,-0.0,0.0002974863324589627,0.9651782611399025,1.0145942514154247
2015-03-25,60.965538024902344,-0.020416681862438724,0.0002974863324589627,0.002952275387067327,-1.0,1.0,1.0,-0.0021299294507798328,-0.020416681862438724,0.9631224995362481,0.9938796033648168
2015-03-26,60.83568572998047,-0.0021299294507798328,-0.020416681862438724,-0.0035281069971574873,-1.0,-1.0,0.0,-0.0,-0.0021299294507798328,0.9631224995362481,0.9917627099270807
2015-03-27,60.78929901123047,-0.0007624919189024304,-0.0021299294507798328,-0.0036327134078449454,-1.0,-1.0,0.0,0.0,-0.0007624919189024304,0.9631224995362481,0.9910064988752926
2015-03-30,60.900611877441406,0.0018311260044365785,-0.0007624919189024304,-0.005581406650881004,1.0,-1.0,0.0,-0.0,0.0018311260044365785,0.9631224995362481,0.9928211566459487
2015-03-31,60.66872024536133,-0.003807706112160969,0.0018311260044365785,-0.004236098179045089,-1.0,-1.0,0.0,-0.0,-0.003807706112160969,0.9631224995362481,0.9890407854595052
2015-04-01,60.45538330078125,-0.003516424010878816,-0.003807706112160969,-0.005057136667969075,-1.0,-1.0,0.0,0.0,-0.003516424010878816,0.9631224995362481,0.985562898693777
2015-04-02,60.55741500854492,0.0016877191441502237,-0.003516424010878816,-0.0016770850976570938,1.0,-1.0,0.0,-0.0,0.0016877191441502237,0.9631224995362481,0.9872262520656667
2015-04-06,60.47394943237305,-0.0013782882931858698,0.0016877191441502237,-0.0009135553786710826,-1.0,-1.0,0.0,0.0,-0.0013782882931858698,0.9631224995362481,0.9858655696797188
2015-04-07,61.030479431152344,0.009202805571705719,-0.0013782882931858698,-0.0010367146535277705,1.0,-1.0,0.0,0.0,0.009202805571705719,0.9631224995362481,0.9949382988373202
2015-04-08,61.679710388183594,0.01063781512258366,0.009202805571705719,0.0004376212599260576,1.0,1.0,1.0,-0.0009022221952844633,0.01063781512258366,0.9622535490403886,1.0055222685187295
2015-04-09,61.624061584472656,-0.0009022221952844633,0.01063781512258366,0.0033267255068749834,-1.0,1.0,1.0,-0.001504917119062088,-0.0009022221952844633,0.9608054372015595,1.0046150640102192
2015-04-10,61.53132247924805,-0.001504917119062088,-0.0009022221952844633,0.003849565869993854,-1.0,1.0,1.0,-0.011004170038475314,-0.001504917119062088,0.950232570796702,1.0031032016023225
2015-04-13,60.85422134399414,-0.011004170038475314,-0.001504917119062088,0.0032110386173513916,-1.0,1.0,1.0,-0.001219490102189802,-0.011004170038475314,0.949073771581837,0.9920648834057515
2015-04-14,60.78001022338867,-0.001219490102189802,-0.011004170038475314,0.001285862268293503,-1.0,1.0,1.0,0.0022893200733189456,-0.001219490102189802,0.9512465052181799,0.9908550700997081
2015-04-15,60.91915512084961,0.0022893200733189456,-0.001219490102189802,-0.0007985968664856013,1.0,-1.0,0.0,-0.0,0.0022893200733189456,0.9512465052181799,0.9931234545014372
2015-04-16,60.89134216308594,-0.00045655521171461544,0.0022893200733189456,-0.0024682958763385444,-1.0,-1.0,0.0,-0.0,-0.00045655521171461544,0.9512465052181799,0.9926700388124086
2015-04-17,59.843231201171875,-0.017212807678091524,-0.00045655521171461544,-0.0023791624796245746,-1.0,-1.0,0.0,0.0,-0.017212807678091524,0.9512465052181799,0.9755834003465269
2015-04-20,60.02876281738281,0.0031002940931990075,-0.017212807678091524,-0.005520740591430462,1.0,-1.0,0.0,0.0,0.0031002940931990075,0.9512465052181799,0.9786079958000442
2015-04-21,60.61306381225586,0.009733683778401003,0.0031002940931990075,-0.0026998477650955976,1.0,-1.0,0.0,0.0,0.009733683778401003,0.9512465052181799,0.9881334565741766
2015-04-22,63.08026885986328,0.0407041797994141,0.009733683778401003,-0.0005092129889774366,1.0,-1.0,0.0,-0.0,0.0407041797994141,0.9512465052181799,1.0283546184563885
2015-04-23,62.81129837036133,-0.004263940125231347,0.0407041797994141,0.007173758956241593,-1.0,1.0,1.0,-0.003544297339818314,-0.004263940125231347,0.9478750047602236,1.0239697759357853
2015-04-24,62.58867645263672,-0.003544297339818314,-0.004263940125231347,0.006412281973538247,-1.0,1.0,1.0,-0.005631719058762252,-0.003544297339818314,0.942536839030591,1.0203405225828817
2015-04-27,62.2361946105957,-0.005631719058762252,-0.003544297339818314,0.009145984041192889,-1.0,1.0,1.0,-0.004917545952781044,-0.005631719058762252,0.9379018708124691,1.0145942514154243
2015-04-28,61.930145263671875,-0.004917545952781044,-0.005631719058762252,0.007399581410800637,-1.0,1.0,1.0,0.00853682033501757,-0.004917545952781044,0.9459085705754721,1.0096049375606615
2015-04-29,62.458831787109375,0.00853682033501757,-0.004917545952781044,0.004469335464564228,1.0,1.0,1.0,-0.01915660022153265,0.00853682033501757,0.9277881782428363,1.0182237535219636
2015-04-30,61.262332916259766,-0.01915660022153265,0.00853682033501757,-0.0019641364283150774,-1.0,-1.0,0.0,-0.0,-0.01915660022153265,0.9277881782428363,0.9987180481396749
2015-05-01,61.00263595581055,-0.004239096816704646,-0.01915660022153265,-0.004942668447575338,-1.0,-1.0,0.0,-0.0,-0.004239096816704646,0.9277881782428363,0.9944843856410205
2015-05-04,60.8264045715332,-0.0028889142496236753,-0.004239096816704646,-0.005081628342952604,-1.0,-1.0,0.0,0.0,-0.0028889142496236753,0.9277881782428363,0.991611405528314
2015-05-05,61.17887878417969,0.0057947566542744244,-0.0028889142496236753,-0.004533067381124889,1.0,-1.0,0.0,-0.0,0.0057947566542744244,0.9277881782428363,0.9973575523189535
2015-05-06,60.90989685058594,-0.004396646995487363,0.0057947566542744244,-0.0023906068597137954,-1.0,-1.0,0.0,0.0,-0.004396646995487363,0.9277881782428363,0.9929725232331238
2015-05-07,61.753910064697266,0.013856750015218688,-0.004396646995487363,-0.004977300325814782,1.0,-1.0,0.0,0.0,0.013856750015218688,0.9277881782428363,1.006731895259546
2015-05-08,64.4344482421875,0.043406776585999785,0.013856750015218688,0.0016253697215354856,1.0,1.0,1.0,-0.0064779661530708355,0.043406776585999785,0.92177799782696,1.0504308817190773
2015-05-11,64.01704406738281,-0.0064779661530708355,0.043406776585999785,0.011154544402076371,-1.0,1.0,1.0,-0.0047806882789593885,-0.0064779661530708355,0.9173712645569461,1.0436262260211608
2015-05-12,63.71099853515625,-0.0047806882789593885,-0.0064779661530708355,0.01043673402138694,-1.0,1.0,1.0,0.0011660660004733092,-0.0047806882789593885,0.9184409799983572,1.038636974354807
2015-05-13,63.7852897644043,0.0011660660004733092,-0.0047806882789593885,0.008321645034740177,1.0,1.0,1.0,0.019665232755281314,0.0011660660004733092,0.9365023356420136,1.0398480936174366
2015-05-14,65.03964233398438,0.019665232755281314,0.0011660660004733092,0.009434187633932311,1.0,1.0,1.0,-0.00614261134120897,0.019665232755281314,0.9307497657740302,1.060296948408559
2015-05-15,64.64012908935547,-0.00614261134120897,0.019665232755281314,0.010595884181944838,-1.0,1.0,1.0,0.0061805762187856494,-0.00614261134120897,0.9365023356420136,1.0537839563482152
2015-05-18,65.03964233398438,0.0061805762187856494,-0.00614261134120897,0.0006860065965030859,1.0,1.0,1.0,0.0022857810483107865,0.0061805762187856494,0.9386429749325229,1.060296948408559
2015-05-19,65.18830871582031,0.0022857810483107865,0.0061805762187856494,0.003217715070874383,1.0,1.0,1.0,-0.00541643717810647,0.0022857810483107865,0.9335588742261299,1.062720555078813
2015-05-20,64.83522033691406,-0.00541643717810647,0.0022857810483107865,0.004631008936328418,-1.0,1.0,1.0,-0.005875561097198223,-0.00541643717810647,0.9280736920227827,1.0569643959543462
2015-05-21,64.45427703857422,-0.005875561097198223,-0.00541643717810647,0.003314508300612462,-1.0,1.0,1.0,0.003603983877655592,-0.005875561097198223,0.9314184546461091,1.0507541370683533
2015-05-22,64.68656921386719,0.003603983877655592,-0.005875561097198223,-0.0017936504698834455,1.0,-1.0,0.0,-0.0,0.003603983877655592,0.9314184546461091,1.0545410380377276
2015-05-26,63.68309020996094,-0.015512942116137629,0.003603983877655592,0.00015566857388946698,-1.0,1.0,1.0,0.013860791870680345,-0.015512942116137629,0.9443286519904694,1.0381820039555567
2015-05-27,64.56578826904297,0.013860791870680345,-0.015512942116137629,-0.0041830350930951886,1.0,-1.0,0.0,0.0,0.013860791870680345,0.9443286519904694,1.0525720286362705
2015-05-28,64.63081359863281,0.0010071174120709347,0.013860791870680345,-0.001868032928621277,1.0,-1.0,0.0,-0.0,0.0010071174120709347,0.9443286519904694,1.053632092253769
2015-05-29,63.81319046020508,-0.012650670677075149,0.0010071174120709347,-0.0005833220105857962,-1.0,-1.0,0.0,0.0,-0.012650670677075149,0.9443286519904694,1.0403029396398689
2015-06-01,64.21269226074219,0.00626048936992496,-0.012650670677075149,-0.0019383439265611812,1.0,-1.0,0.0,-0.0,0.00626048936992496,0.9443286519904694,1.046815745134986
2015-06-02,64.14769744873047,-0.001012180142639152,0.00626048936992496,-0.0014070428281073078,-1.0,-1.0,0.0,-0.0,-0.001012180142639152,0.9443286519904694,1.0457561790247583
2015-06-03,64.06402587890625,-0.0013043581165339546,-0.001012180142639152,0.0014931095665923877,-1.0,1.0,1.0,-0.010731808979397406,-0.0013043581165339546,0.9341942972835359,1.044392138464732
2015-06-04,63.376502990722656,-0.010731808979397406,-0.0013043581165339546,-0.0015399204308504722,-1.0,-1.0,0.0,0.0,-0.010731808979397406,0.9341942972835359,1.033183921535144
2015-06-05,63.525123596191406,0.0023450426965101467,-0.010731808979397406,-0.00388770570914414,1.0,-1.0,0.0,-0.0,0.0023450426965101467,0.9341942972835359,1.0356067819444916
